src,dest,tag
G:\spring-experimental\TA-recursive\units\TALON\talon_boxer.lua,G:\spring-experimental\TA-recursive\units\Prototypes\talon_boxer.lua,Prototypes
G:\spring-experimental\TA-recursive\units\TALON\talon_grenat.lua,G:\spring-experimental\TA-recursive\units\Prototypes\talon_grenat.lua,Prototypes
G:\spring-experimental\TA-recursive\units\TALON\talon_javelin.lua,G:\spring-experimental\TA-recursive\units\Prototypes\talon_javelin.lua,Prototypes
G:\spring-experimental\TA-recursive\units\TALON\talon_mcv.lua,G:\spring-experimental\TA-recursive\units\Prototypes\talon_mcv.lua,Prototypes
G:\spring-experimental\TA-recursive\units\TALON\talon_mythril.lua,G:\spring-experimental\TA-recursive\units\Prototypes\talon_mythril.lua,Prototypes
G:\spring-experimental\TA-recursive\units\TALON\talon_scorpion.lua,G:\spring-experimental\TA-recursive\units\Prototypes\talon_scorpion.lua,Prototypes
G:\spring-experimental\TA-recursive\units\TALON\talon_seth.lua,G:\spring-experimental\TA-recursive\units\Prototypes\talon_seth.lua,Prototypes
